restaurant_id,yelp_id_0,yelp_id_1,yelp_id_2,yelp_id_3
9JoPAZO8,tKtVx2iUR_YyJwUzODNNzA,,,
6Wo2Zyo9,5uXoDqGdwMtdgGnDG2fVnw,,,
0j3LgvEr,CivIfhVTX4hOpM_PvitK1g,,,
ekE4PNE2,MN4JY0S23kL92yq3Icbc7w,,,
lnORPD3N,Oky7Ont6K2fLWQqdZJTv2A,,,
1m3ML6EB,4szp0oAXNzQcUSzoUYPbag,,,
dj3d8r39,N1I62n251RGzw1yGO_AKuQ,,,
6K3lvqOz,9d5DyAi5-gzNzIp4WBlAfw,,,
V430J2OB,IjkVs_wjdwdq2tUFcmwylw,,,
N6Ok8QEx,-g-DBG41EKzmmWL4zYYLCg,,,
7RO5A6Oq,YQfdsj7qVJj3U_5OjEfohg,,,
6Wo2Rbo9,_6Mix2KjHZ6F0umoQ6vm6g,,,
njoZbvor,3FFTfeU_W7NrqEd168XZTw,,,
xWoYdG3K,8g_wzgZwZcQs7TOXTFp2yg,,,
JGoNZYoL,ei9SSSKqwsktRAVe02N7XQ,,,
Pk3wPxod,M4qCjI8_jAUI2wQ2Jx05lQ,,,
9JoP7j38,vp_aMkBmYbkA--cQ4vlMGg,,,
1m3MP6EB,UMAoibULP4HxAlUObUJgVA,,,
8x3zx2Ok,zfYV3bUhrmVX9U0R4HPa2g,,,
0j3L8Z3r,9W9_KgjsJlnf8yzi6zpHUw,,,
V430BAOB,KibO1gddNpKzPduJKPGQXA,,,
1m3MQn3B,H3C_4i7bexx5im2EirxuLg,,,
V430yAoB,MTeEKypVtlnr0ERJbc0EGA,,,
Y1Em9REw,ZrDuca0zT1bVscI7nIXwkA,,,
eVOBl63j,vKAveftHblmq9klNmn8GNQ,,,
0ZEDXGED,mqBvrapNt29hPJUMYEwHYw,,,
rNo64LE6,icwb6x2qYwvCThJiQgp6pw,,,
Pk3wrqEd,HHjqMNunMg6uhtQXSL17XQ,,,
8x3znL3k,QZnHVr3UuTX61u_tyG2dMQ,,,
6K3lJKOz,MfZk4_t5693Xm7YRBfS8wQ,,,
8gOqg532,6hntGQO59c9HX4a32EI_zw,,,
Y1EmbA3w,3hNSvu0csMgXs9dBBm9xsg,,,
8KoAk4E6,Hd1GP1cI0gnYQhQf9qqUUQ,6WhPvxz7DjHCx3A_cfsJFw,,
8KoAaqo6,J4J7LOfq0AwXqrO7PgSFHQ,,,
v5oJR8oB,tjCAWt04oRZwHM65qaYEIg,,,
N6OkRvox,Duqh33zcv278odJ9vmNiQg,,,
we39LrEk,3K7N4BcJj8b1eEwjGCfPQA,mjogGxVeZmemp3YxdKJQpg,,
ydEjV9EW,YBVe2vHywkgYntQ_7vdjgA,,,
eVOBpp3j,uIoZ_eRGJO0XPX_FL8lQBA,,,
geEVbBEz,w-KtBbHlP8d03PKp35UtKw,,,
xWoYjgOK,qyghd_63sjylMQ3uix4FcA,,,
7RO5gn3q,pfmASZdZ1MjAypOD7ilzZw,,,
m0oW23Gj,ePczGFS4KNkS5p9J2GIngg,,,
Pk3wQqOd,c3nWvPQ7H0wVKh3tPgQlAQ,,,
KAoKGRog,Z_-op3XMvKGR_LNyBtlqrA,,,
we39w9Ok,R3xeoi1FOkN9Z3FVRISjSw,86P32yiy7TAeigbfPMinXw,,
lnORzeON,XJ2mW5phqfSCcO4Hbask_Q,,,
lnORw6EN,eNRRkvBr1tz36WjdTPJdBA,,,
B1oXAQOV,Vf84yIraHKh8mJV-MPqJVw,,,
Y1EmaVEw,105iw1_aGTuy8QcIc6pxeA,,,
lnORjnON,X078xxpXgonlfzlA6nUPlA,,,
6K3lQqoz,omL5cADOoJHhd1rVb8_Udw,,,
ydEjeOW0,5AMUcD75ZdfY6DdWJf-h2g,,,
8x3zWbok,v9Gfl7u0c1lWrvkA0GOOMQ,,,
dj3dzXO9,jy2_asMhGYOM5K-cGNwsIA,,,
1m3MVYoB,UQlLYQAzRX6HSAZzzhwbgw,,,
we39YZ3k,O9EmJNtsgDK-nQG578KRZA,,,
VpoGM7Er,fLdxAYEyuZrcwi1EZ5TAuA,,,
1m3MpyEB,XLUTeNqi6vNH4MBLXyN4RA,,,
1m3MNpoB,YxYQ1-pj8p8RtBbHQpxxdw,,,
nkOvpx3B,NNQbGp4nmIg3YHXiIPtyqw,,,
V430x43B,mZ1ApfDu5iVP5vJ1ag5Sqg,,,
V43016oB,JnfExs0gFLbDItchWYVkVA,,,
V430e1oB,6DzCeWt38GjAVQfo34hR0g,,,
p0381vom,opJW_I8qNfMxucN4GpK-ag,TYMOn5xVwPkmD7YTXSrOjQ,,
1m3M2koB,rmB1dIKBIvBWUbQNy3IwrA,,,
B1oXBmEV,2mSu8PN-B2tsoPHIgY11CQ,,,
0ZEDKkOD,u0V_D_MgceNU4y9IBsmYQA,,,
xWoYMGoK,PAFyEgevPbw3IFE4iKfk6w,,,
7RO5edOq,g781o20MSPpfPDjMXCXs6Q,,,
1JEbd4oR,Fo9qG59lVtxu-Axg8l5bkQ,,,
m0oW2d3G,5Kdf1DGbRScRk6Cx3jaX8w,,,
